שם ראשי,שכונה
אוסישקין,שכונה א'
אחד העם,שכונה א'
אלי כהן,שכונה א'
בורוכוב,שכונה א'
בזל,שכונה א'
בלפור,שכונה א'
בר אילן,שכונה א'
חיים ברנר,שכונה א'
"גורדון א""ד",שכונה א'
הכותל המערבי,שכונה א'
המשחררים,שכונה א'
הס משה,שכונה א'
הרבי מלובביטש,שכונה א'
השומר,שכונה א'
ויצמן,שכונה א'
ורבורג,שכונה א'
שדרות טוביהו דוד,שכונה א'
ברל כצנלסון,שכונה א'
משה מונטיפיורי,שכונה א'
מוריה,שכונה א'
מנדלי מוכר ספרים,שכונה א'
סוקולוב,שכונה א'
סמאטס,שכונה א'
שדרות יצחק רגר,שכונה א'
שבזי,שכונה א'
"שח""ל",שכונה א'
שפירא הרמן,שכונה א'
תל חי,שכונה א'
בן אסא בנימין,שכונה א'
בן עמי אברהם,שכונה א'
יעקב גרשפלד,שכונה א'
דקל,שכונה א'
האורגים,שכונה א'
הטחנה,שכונה א'
המוסכים,שכונה א'
המלאכה,שכונה א'
המסילה,שכונה א'
המשק,שכונה א'
הנגרים,שכונה א'
חיטה,שכונה א'
שדרת חיל הנדסה,שכונה א'
יהודה הנחתום,שכונה א'
יהושע הצורף,שכונה א'
רוטנברג יוליה ושמואל,שכונה א'
יוסי הבורסקאי,שכונה א'
יצחק נפחא,שכונה א'
מלל סעדיה,שכונה א'
נאוי אליהו,שכונה א'
סדנא,שכונה א'
עמל,שכונה א'
פנחס החוצב,שכונה א'
שעורה,שכונה א'
תאנה,שכונה א'
אבן גבירול,שכונה ב'
אלברט אינשטיין,שכונה ב'
אסף הרופא,שכונה ב'
בארון דבורה,שכונה ב'
ביאליק,שכונה ב'
בן יהודה,שכונה ב'
בני אור,שכונה ב'
בצלאל,שכונה ב'
ברנשטיין לאונרד,שכונה ב'
צבי גרץ,שכונה ב'
שמעון דובנוב,שכונה ב'
דר ניסתר,שכונה ב'
הוברמן,שכונה ב'
הזז חיים,שכונה ב'
הכוזרי,שכונה ב'
הסופרים,שכונה ב'
"חז""ל",שכונה ב'
טשרניחובסקי,שכונה ב'
כהן יעקב,שכונה ב'
גולדברג לאה,שכונה ב'
למדן יצחק,שכונה ב'
מינץ,שכונה ב'
משה מנדלסון,שכונה ב'
דרך מצדה,שכונה ב'
סעדיה גאון,שכונה ב'
פרויד,שכונה ב'
רחל המשוררת,שכונה ב'
"רמח""ל",שכונה ב'
שטרוק,שכונה ב'
שלום עליכם,שכונה ב'
שמעוני,שכונה ב'
זלמן שניאור,שכונה ב'
יא' הספורטאים,שכונה ב'
פרופ' מחרז אברהם,שכונה ב'
יעקב עורבי,שכונה ב'
אסירי ציון,שכונה ג'
חיים ארלוזורוב,שכונה ג'
בינט מקס,שכונה ג'
בסקין צבי,שכונה ג'
גבעתי,שכונה ג'
אליהו גולומב,שכונה ג'
גולני,שכונה ג'
גוש עציון,שכונה ג'
שדרות בן גוריון,שכונה ג'
הגאולים,שכונה ג'
"הכ""ג",שכונה ג'
מיכאל הלפרין,שכונה ג'
המעפילים,שכונה ג'
הנדיב,שכונה ג'
הנוטר,שכונה ג'
השלום,שכונה ג'
וינגייט,שכונה ג'
ז'בוטינסקי זאב,שכונה ג'
זיסו,שכונה ג'
רייק חביבה,שכונה ג'
חומה ומגדל,שכונה ג'
חיבת ציון,שכונה ג'
סנש חנה,שכונה ג'
יד ושם,שכונה ג'
כרמלי,שכונה ג'
לאונרד כהן,שכונה ג'
מנצ'ל,שכונה ג'
דוד מרכוס,שכונה ג'
"ניל""י",שכונה ג'
עולי הגרדום,שכונה ג'
עליאש מרדכי,שכונה ג'
קלישר,שכונה ג'
קרייתי,שכונה ג'
קרן היסוד,שכונה ג'
פנחס רוטנברג,שכונה ג'
רזיאל,שכונה ג'
שועלי שמשון,שכונה ג'
"שז""ר זלמן",שכונה ג'
שרעבי,שכונה ג'
אבטליון,שכונה ד'
אביה השופט,שכונה ד'
אביר,שכונה ד'
אבן עזרא,שכונה ד'
אברהם אבינו,שכונה ד'
ארניה אסוולדו,שכונה ד'
אליהו הנביא,שכונה ד'
אלכסנדר ינאי,שכונה ד'
אלעזר בן יאיר,שכונה ד'
יהודה אריסטובולוס,שכונה ד'
"משעול בית""ר",שכונה ד'
יוחנן בן זכאי,שכונה ד'
יוסף בן מתתיהו,שכונה ד'
בן שטח שמעון,שכונה ד'
בנימין מטודלה,שכונה ד'
בעלי התוספות,שכונה ד'
שמעון בר גיורא,שכונה ד'
בר יוחאי,שכונה ד'
ברנפלד שמעון,שכונה ד'
הרב גבאי מנחם,שכונה ד'
גלעד,שכונה ד'
גרר,שכונה ד'
דוד המלך,שכונה ד'
האיסיים,שכונה ד'
האמוראים,שכונה ד'
יוחנן הורקנוס,שכונה ד'
הזוהר,שכונה ד'
הכנסת,שכונה ד'
הלל הזקן,שכונה ד'
המכתשים,שכונה ד'
הנבטים,שכונה ד'
הצדיק מירושלים,שכונה ד'
הקנאים,שכונה ד'
התלמוד,שכונה ד'
התנאים,שכונה ד'
הרב טייב חי,שכונה ד'
יהודה הלוי,שכונה ד'
יהודה הנשיא,שכונה ד'
